year	China	South Korea	Bangladesh
1989	819843639.1	630474787.5	174885662.1
1990	839744956.7	496252733.3	202565164.2
1991	850739547.8	410624963.6	208791613.8
1992	948251384.1	419050472.9	340510760.1
1993	935535303.7	427547429.1	355447570.2
1994	934151011.7	409981149.1	430309902.4
1995	862089583.5	342905692.2	519233624.9
1996	862062184.4	287221793.9	529422311.1
1997	947375680.1	320484362.8	671762867.9
1998	910255798.8	460074548	743515539.8
1999	910406522.7	537369865.7	773077066.5
2000	929159283	587193234.8	966611942.4
2001	975979534.1	631956830.8	965941955.9
2002	1564963032	649953607.3	927717082.6
2003	2289847415	575584375.5	913029078.3
2004	2972522846	624399744.1	941684938.7
2005	5883430984	359384504.3	1124829783
2006	6506084528	309434470.5	1306918705
2007	8033594192	205258018.4	1351828298
2008	7788658096	174872158	1436236868
2009	8623273230	96284083.16	1383832929
2010	10386779443	91897824.18	1606062881
2011	9738200898	78801469.88	1539526666
2012	9884076625	67594971.1	1521916171
